date,ticker,timestamp,oneDayReturnPct,finalScore,nonFundamental,news,sentiment,uncertainty,confidence,returnLikelihood,evidenceCheckedCited,reason,metrics_EC,metrics_PCR,metrics_SD,metrics_NRI,metrics_HDM,metrics_CONTR,metrics_FRESH_NEG,metrics_CP,metrics_RD,PriceAtOpen,PriceAt1730CET
2025-12-22,WGO,2025-12-22T13:50:53.506728,-8.25,0.6,No,-0.42,0.0,High,High,67.7,Finviz: 'Beating analysts expectations... Raised full-year guidance'.,Earnings Beat ($0.38 vs $0.13) & Raised FY Guidance. Sell-off appears disconnected from strong fundamentals.,1.0,0.3,0.9,0.0,0.2,1.0,1.0,0.9,0.2,42.35,41.7501
2025-12-22,SCHL,2025-12-22T13:50:53.506728,-8.78,0.59,No,0.22,0.0,High,High,83.0,MarketBeat: 'Expanded share repurchase by $80M to total $150M'.,Aggressive Support: Board increased Buyback Authorization to $150M after earnings beat.,1.0,0.5,0.8,0.0,0.1,0.9,0.0,0.5,0.1,27.09,27.065
2025-12-22,LW,2025-12-22T13:50:53.506728,-13.59,-0.05,No,-0.78,0.0,High,Medium,25.4,Investing.com: 'Surpassed forecast EPS and Revenue'.,Earnings Beat ($0.69 vs $0.64) and Revenue Beat. Stock fell 12% despite operational beat.,0.9,0.7,0.7,0.0,0.4,0.6,1.0,0.3,0.2,43.49,43.085
2025-12-22,OLMA,2025-12-22T13:50:53.506728,-12.72,-0.06,No,0.18,0.0,High,Medium,56.1,Citigroup: 'Raised price target to $60'.,Multiple Analyst Upgrades (Citi to $60). Cash position strong ($329M).,0.6,0.6,0.6,0.0,0.2,0.5,0.0,0.4,0.2,27.92,28.54
2025-12-22,PDEX,2025-12-22T13:50:53.506728,-8.51,-0.1,No,0.26,0.0,High,Medium,56.9,"TipRanks: 'Backlog $50.4M', 'Contract extension with largest customer'.",Strong Growth Story: Backlog at $50.4M + Contract Extension through 2028.,0.6,0.6,0.7,0.0,0.2,0.6,0.0,0.5,0.3,41.0,
2025-12-22,IRON,2025-12-22T13:50:53.506728,-12.91,-0.11,No,-0.64,0.0,High,High,26.8,"TipRanks: 'Consensus Strong Buy, Avg Target $120.18'.","Analyst Consensus 'Strong Buy' (Target ~$120). FDA application accepted, efficacy mandated.",0.8,0.8,0.6,0.0,0.3,0.8,1.0,0.5,0.3,80.51,78.53
2025-12-22,ANDG,2025-12-22T13:50:53.506728,-10.12,-0.48,Yes,0.34,0.0,High,Low,41.6,"Investing.com: 'Opened at $21, well above offering'.",Post-IPO Volatility play. Opened significantly above IPO price ($21).,0.2,0.5,0.5,0.0,0.8,0.3,0.0,0.5,0.7,24.51,25.55
2025-12-22,AFJK,2025-12-22T13:50:53.506728,-30.01,-0.51,Yes,0.48,0.0,High,Low,44.2,Ainvest: 'Intraday low of $35.01 identified as key support'.,Extreme Oversold (Williams %R -79). Price nearing key psychological support at $35.,0.3,0.9,0.4,0.0,0.9,0.4,0.0,0.7,0.8,34.48,
2025-12-22,BETR,2025-12-22T13:50:53.506728,-8.42,-0.62,No,-0.66,0.0,High,Medium,11.7,HousingWire: 'Aims for EBITDA breakeven by Q3 2026'.,Turnaround Play: Management reiterated Adj EBITDA breakeven by 2026.,0.4,0.7,0.5,0.0,0.5,0.4,1.0,0.4,0.5,35.05,35.5266
2025-12-22,INTG,2025-12-22T13:50:53.506728,-8.67,-1.18,Yes,-0.6,0.0,High,Very Low,4.5,"Intellectia: 'Strong Sell indicators', but RSI approaching lows.",Purely Technical Speculation (No fundamental support). Buying on support.,0.1,0.95,0.2,1.0,0.5,0.1,1.0,0.9,0.9,27.15,
2025-12-23,UNF,2025-12-23T09:49:45.264608,-7.31,0.93,Yes,0.81,0.46,High,High,97.2,Cintas Offer $275 confirmed (Dec 2025),Top Tier Arbitrage Play. Cintas (CTAS) renewed offer at $275/share in Dec 2025. Stock -7% drop widens spread significantly. Deal uncertainty exists but risk/reward is skewed bullish.,0.8,0.9,0.7,0.9,0.8,0.9,0.0,0.8,0.8,200.23,198.34
2025-12-23,DDS,2025-12-23T09:49:45.264608,-7.19,0.88,No,0.51,0.13,High,Medium,93.9,10-K Cash Position confirmed,"Value Play. Strong Balance Sheet ($1B Cash), owns real estate. Management aggressively buys back shares. Drop is sector sympathy, not company specific.",0.8,0.7,0.9,0.5,0.8,0.7,0.0,0.6,0.5,617.91,626.34
2025-12-23,RYM,2025-12-23T09:49:45.264608,-8.83,0.36,No,0.62,0.47,High,Medium,89.4,CEO Buying confirmed (Sep 2025),"Strong Insider Buying. CEO bought 4,000 shares recently. Drop driven by Q3 loss and debt, but insiders are accumulating. Support at $26.40 held.",0.7,0.8,0.9,0.6,0.7,0.8,0.0,0.7,0.6,26.35,26.2
2025-12-23,NKTR,2025-12-23T09:49:45.264608,-7.29,0.17,No,0.29,-0.2,High,Low,66.6,Cash balance Q3 2025,Cash runway play. $270M cash extends into 2027. Stock drop reflects failed pipeline fatigue.,0.6,0.5,0.5,0.3,0.5,0.5,0.0,0.4,0.3,43.16,43.215
2025-12-23,EWTX,2025-12-23T09:49:45.264608,-16.9,-0.05,Yes,-0.6,-0.06,High,Low,30.6,Insider buying (mixed),Oversold bounce candidate. Dropped on FDA denial (old news recycling?) or technical break. Support at $21 broken. Insiders have bought historically.,0.5,0.6,0.8,0.4,0.6,0.6,1.0,0.4,0.4,21.02,21.63
2025-12-23,INTG,2025-12-23T09:49:45.264608,-7.55,-0.56,No,-0.52,-0.4,High,Low,11.2,Debt default warning,Default Risk. Lender termination notice. SF Hotel exposure. High risk.,0.4,0.4,0.3,0.4,0.3,0.4,1.0,0.4,0.6,25.5,
2025-12-23,SMX,2025-12-23T09:49:45.264608,-10.88,-0.68,No,-0.69,-0.67,High,Low,6.1,Dilution history,Dilution Trap. Toxic financing and reverse splits dominate. No rebound thesis.,0.1,0.2,0.2,0.1,0.2,0.2,1.0,0.2,0.8,168.21,149.0
2025-12-23,WSHP,2025-12-23T09:49:45.264608,-16.05,-0.79,No,-0.73,-0.8,High,Low,4.1,Trustpilot reviews (Scam),Negative Rebound Potential. High QSI (Scam/MLM allegations). Trustpilot warnings.,0.2,0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.9,,105.0
2025-12-23,AFJK,2025-12-23T09:49:45.264608,-7.16,-0.83,Yes,-0.75,-0.8,High,Low,3.7,Redemption event,SPAC volatility. Pump/Dump pattern. Going concern doubt.,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.8,30.94,47.22
2025-12-23,VHC,2025-12-23T09:49:45.264608,-7.79,-0.99,No,-0.81,-0.8,High,Low,2.5,Supreme Court denial,"Zombie Company. Revenue $5,000. Lost patent war with Apple. No catalyst.",0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.5,,16.9999
2025-12-24,PVLA,2025-12-24T13:11:01.127375,-8.85,0.46,Yes,0.75,0.53,High,Medium,92.7,TOIVA Trial Results,Successful Phase 2. TOIVA trial success (Dec 15) drove stock up. Drop is consolidation.,0.8,0.7,0.8,0.7,0.7,0.8,0.0,0.8,0.8,101.29,106.0
2025-12-24,JFB,2025-12-24T13:11:01.127375,-9.06,-0.21,No,0.45,0.13,High,Low,60.8,Revenue growth,Low Float/Lockup. Volatile trading post-IPO lockup expiry. 119% rev growth is positive but stock weak.,0.5,0.5,0.4,0.5,0.5,0.5,0.0,0.5,0.5,14.84,13.87
2025-12-24,SDHC,2025-12-24T13:11:01.127375,-9.29,-0.24,No,-0.63,-0.33,High,Low,18.2,Earnings Miss Q3,Fundamental Miss. Q3 EPS $0.24 vs $0.67 est. Housing market headwinds (rates). Not a clear reversal.,0.5,0.4,0.6,0.3,0.4,0.5,1.0,0.3,0.5,17.9,17.525
2025-12-24,FBRX,2025-12-24T13:11:01.127375,-9.15,-0.37,No,0.33,-0.2,High,Low,41.6,Historical lawsuit,History of value destruction. No immediate catalyst found for drop.,0.4,0.4,0.5,0.3,0.4,0.5,0.0,0.4,0.5,26.87,27.0
2025-12-24,CSIQ,2025-12-24T13:11:01.127375,-8.73,-0.49,No,-0.68,-0.47,High,Low,10.0,Tariff news,Tariff Risk. Earnings miss + Tariff headwinds. Structural issues.,0.4,0.3,0.5,0.2,0.3,0.4,1.0,0.2,0.7,24.09,24.19
2025-12-24,FBYD,2025-12-24T13:11:01.127375,-9.06,-0.98,Yes,-0.64,-0.4,High,Low,4.3,Redemption rate,SPAC De-peg. 75% redemptions. Highly volatile low float.,0.3,0.3,0.2,0.2,0.3,0.3,1.0,0.3,0.6,16.98,18.35
2025-12-24,SMX,2025-12-24T13:11:01.127375,-11.63,-1.13,No,-0.75,-0.8,High,Low,2.1,Filings,Dilution Spiral. Continued drop post-pump. Toxic financing structure.,0.1,0.1,0.2,0.1,0.1,0.1,1.0,0.1,0.8,152.78,137.23
2025-12-24,INBX,2025-12-24T14:02:39.518832,-10.14,-0.08,No,-0.6,-0.07,High,Medium,27.1,"Weiss Law investigation, Global Investors selling, Trade secret win.",Drop likely due to acquisition investigation/shareholder selling. Legal victory in trade secrets.,1.0,0.7,0.6,0.4,0.5,0.3,1.0,0.4,0.6,78.08,78.89
2025-12-24,SMX,2025-12-24T14:02:39.518832,-11.63,-0.13,No,0.21,-0.47,High,Medium,39.9,"Oversold RSI, Bollinger Bands, Nasdaq delinquency notices.","Oversold conditions (RSI, Bollinger) but high volatility and skepticism.",1.2,0.9,0.4,0.1,0.8,0.7,0.0,0.3,0.5,152.78,137.23
2025-12-24,SDHC,2025-12-24T14:02:39.518832,-9.29,-0.28,No,-0.68,-0.53,Low,High,11.6,"Q3 earnings miss, RBC downgrade, Zacks Strong Sell.",Earnings miss and analyst downgrades. Volume drying up.,1.5,0.8,0.8,0.2,0.6,0.1,1.0,0.2,0.7,17.9,17.525
