Feature,Correlation,Count
metrics_NRI,0.1493533754055421,66
metrics_FRESH_NEG,0.08331452819387587,66
metrics_EC,0.07655981629009363,66
metrics_HDM,0.04467017810627158,66
metrics_PCR,0.03328439666063694,66
metrics_RD,-0.0406799295827232,66
scs_score,-0.041530368994426234,23
news,-0.11552430990123502,66
metrics_CONTR,-0.13137146656649643,66
metrics_SD,-0.14908377701164766,66
returnLikelihood,-0.20420091887577713,66
finalScore,-0.22118204324407695,66
metrics_CP,-0.2427959109596824,66
sentiment,-0.32949966131547187,66
