run_id,timestamp,ticker,dcl_prob,scs_score,rank,driver_category,reason,date,PriceAtOpen,PriceAt1730CET
20251222_135053,2025-12-22T13:50:53.713467,INTG,80.5,8.05,1,Bankruptcy/Default,Critical: Subsidiary defaulted on $97M debt. Notice of Termination Event received. Foreclosure risk.,2025-12-22,27.15,
20251222_135053,2025-12-22T13:50:53.713467,LW,73.5,7.35,2,Fraud/Accounting,"High Risk: ERP Failure allegedly concealed, causing $135M sales loss. Investor lawsuits active.",2025-12-22,43.49,43.085
20251222_135053,2025-12-22T13:50:53.713467,WGO,71.0,7.1,3,Fraud/ProductDefect,Critical: Class Action alleging 'Grand Deception' regarding dangerous frame flex defects. Safety hazard.,2025-12-22,42.35,41.7501
20251222_135053,2025-12-22T13:50:53.713467,BETR,55.5,5.55,4,Litigation,Litigation: Class action for unpaid wages (misclassification of underwriters). Est liability $8.4M.,2025-12-22,35.05,35.5266
20251222_135053,2025-12-22T13:50:53.713467,PDEX,60.5,4.84,5,risk/concentration,Customer Concentration Risk: 94% of sales from top 3 customers. Loss of one is catastrophic.,2025-12-22,41.0,
20251222_135053,2025-12-22T13:50:53.713467,SCHL,45.5,4.55,6,PR/Reputation,PR Crisis: Accusations of censorship/book banning 'bigotry button' caused significant backlash.,2025-12-22,27.09,27.065
20251222_135053,2025-12-22T13:50:53.713467,IRON,41.0,4.1,7,Regulatory,Regulatory Doubt: FDA official questioned efficacy despite NDA acceptance. Sentiment fragile.,2025-12-22,80.51,78.53
20251222_135053,2025-12-22T13:50:53.713467,OLMA,41.0,4.1,8,InsiderSelling,Insider Selling: Net selling trend over 6 months ($43M sold in 2 years vs $4M bought).,2025-12-22,27.92,28.54
20251222_135053,2025-12-22T13:50:53.713467,ANDG,48.5,2.91,9,Technical/IPO,IPO Volatility: Lack of analyst coverage makes valuation speculative.,2025-12-22,24.51,25.55
20251222_135053,2025-12-22T13:50:53.713467,AFJK,51.5,2.06,10,Technical/Volatility,Speculative Bubble Burst: 1000% rally reversed. High volatility risk.,2025-12-22,34.48,
20251223_092459,2025-12-23T09:24:59.708581,AFJK,85.5,8.55,1,Technical/PumpDump,Pump & Dump: 1000% rise followed by crash. Low float SPAC. Material weakness in controls.,2025-12-23,30.94,47.22
20251223_092459,2025-12-23T09:24:59.708581,WSHP,80.0,8.0,2,Fraud/Scam,"Critical: 'Scam' allegations, 'Shareback' complaints. P/B 790x. True garbage valuation.",2025-12-23,,105.0
20251223_092459,2025-12-23T09:24:59.708581,SMX,79.5,7.95,3,Dilution,Dilution Spiral: 1100% dilution in 2 years. Reverse split factory. Hazardous.,2025-12-23,168.21,149.0
20251223_092459,2025-12-23T09:24:59.708581,INTG,68.0,6.8,4,Debt/Distress,Debt Trap: $197M Debt vs $6M Cash. Recent net losses. Foreclosure risk mentioned (though Refi helped).,2025-12-23,25.5,
20251223_092459,2025-12-23T09:24:59.708581,VHC,52.0,5.2,5,BusinessModelFailure,Zombie: Primary revenue source (Lawsuit) is dead (Supreme Court denied). Revenue <$200k. Cash burn.,2025-12-23,,16.9999
20251223_092459,2025-12-23T09:24:59.708581,RYM,57.0,4.56,6,Sector/Volatility,Volatile Sector: Cannabis/Crypto adjacency often leads to wild swings.,2025-12-23,26.35,26.2
20251223_092459,2025-12-23T09:24:59.708581,DDS,42.5,3.4,7,Macro/Retail,Retail Slowdown: Insider selling. Sales declining. Sector headwinds.,2025-12-23,617.91,626.34
