date,ticker,timestamp,oneDayReturnPct,finalScore,modelReturnPrediction,nonFundamental,news,sentiment,uncertainty,confidence,returnLikelihood,evidenceCheckedCited,reason,metrics_EC,metrics_PCR,metrics_SD,metrics_NRI,metrics_HDM,metrics_CONTR,metrics_FRESH_NEG,metrics_CP,metrics_RD,PriceAtOpen,PriceAt1730CET,lm_fit_long,lm_fit_short,avg_volume_30d,Target_Short,Target_Long,T1_Date_IBKR
2025-12-24,INBX,2025-12-24T10:01:09.156207,-10.14,0.95,0.0,Yes,0.77,0.53,High,High,97.3,Positive Phase 2 Data,Sell the News / Oversold. Positive ChonDRAgon trial results caused surge; this drop is technical profit taking. Fundamentally stronger.,0.8,0.8,0.9,0.7,0.8,0.9,0,0.8,0.9,,,0.0402008258493657,0.0840930999508274,22405112.748999994,,,
2025-12-24,BLLN,2025-12-24T10:01:09.156207,-8.84,0.68,0.0,No,0.55,0.33,High,Medium,92.9,Q3 Revenue +117%,Revenue Growth. Q3 Revenue +117%. EPS miss is growing pains. Profitable ($5.7M net income). Rebound likely as IPO lockup fears stabilize.,0.7,0.6,0.7,0.5,0.6,0.7,0,0.6,0.7,,,0.0892700816924141,-0.0205121324967211,21724572.61783333,-0.04,0.03632354647789249,20251226
2025-12-24,ASMB,2025-12-24T10:01:09.156207,-9.08,0.55,0.0,Yes,0.68,0.33,High,Medium,92.2,Gilead Licensing Deal,Gilead Deal Validation. Gilead licensed HSV programs. Drop is counter-intuitive to fundamental derisking.,0.8,0.7,0.8,0.6,0.7,0.8,0,0.7,0.9,,,0.0975809431154686,-0.0120366035665122,5492820.724666665,0.003851851851851928,-0.003851851851851928,20251226
2025-12-24,PVLA,2025-12-24T10:01:09.156207,-8.85,0.46,0.0,Yes,0.75,0.53,High,Medium,92.7,TOIVA Trial Results,Successful Phase 2. TOIVA trial success (Dec 15) drove stock up. Drop is consolidation.,0.8,0.7,0.8,0.7,0.7,0.8,0,0.8,0.8,,,0.0689579874703583,0.0334848831780808,28988749.7075,0.020189573459715598,-0.04,20251226
2025-12-24,JFB,2025-12-24T10:01:09.156207,-9.06,-0.21,0.0,No,0.45,0.13,High,Low,60.8,Revenue growth,Low Float/Lockup. Volatile trading post-IPO lockup expiry. 119% rev growth is positive but stock weak.,0.5,0.5,0.4,0.5,0.5,0.5,0,0.5,0.5,,,-0.0099328925458177,0.0244303389811756,1035827.2006666666,-0.04,0.10185185185185197,20251226
2025-12-24,SDHC,2025-12-24T10:01:09.156207,-9.29,-0.24,0.0,No,-0.63,-0.33,High,Low,18.2,Earnings Miss Q3,Fundamental Miss. Q3 EPS $0.24 vs $0.67 est. Housing market headwinds (rates). Not a clear reversal.,0.5,0.4,0.6,0.3,0.4,0.5,1,0.3,0.5,,,0.0966462353625137,-0.0237248744916592,1605774.3520000002,-0.0005688282138794974,0.0005688282138794974,20251226
2025-12-24,FBRX,2025-12-24T10:01:09.156207,-9.15,-0.37,0.0,No,0.33,-0.2,High,Low,41.6,Historical lawsuit,History of value destruction. No immediate catalyst found for drop.,0.4,0.4,0.5,0.3,0.4,0.5,0,0.4,0.5,,,0.0123387260622808,0.0339167975962749,3435429.767166667,-0.0075921908893709636,-0.04,20251226
2025-12-24,CSIQ,2025-12-24T10:01:09.156207,-8.73,-0.49,0.0,No,-0.68,-0.47,High,Low,10.0,Tariff news,Tariff Risk. Earnings miss + Tariff headwinds. Structural issues.,0.4,0.3,0.5,0.2,0.3,0.4,1,0.2,0.7,,,0.0153766469545494,0.137607936333591,141683005.94816667,0.02500000000000004,-0.04,20251226
2025-12-24,FBYD,2025-12-24T10:01:09.156207,-9.06,-0.98,0.0,Yes,-0.64,-0.4,High,Low,4.3,Redemption rate,SPAC De-peg. 75% redemptions. Highly volatile low float.,0.3,0.3,0.2,0.2,0.3,0.3,1,0.3,0.6,,,0.013699093185311,-0.0281637550821776,3174733.324,0.05145413870246075,-0.04,20251226
2025-12-24,SMX,2025-12-24T10:01:09.156207,-11.63,-1.13,0.0,No,-0.75,-0.8,High,Low,2.1,Filings,Dilution Spiral. Continued drop post-pump. Toxic financing structure.,0.1,0.1,0.2,0.1,0.1,0.1,1,0.1,0.8,,,-0.0623145782279484,0.1741717303953104,186284785.7263333,0.17416288308740074,-0.04,20251226
